bookId,bookName,isbn,price,priceCurrency,authorName
310,The Great Gatsby,743273567,11,USD,F. Scott Fitzgerald
311,Tender Is the Night,1853260975,9,USD,F. Scott Fitzgerald
312,This Side of Paradise,486290,5,USD,F. Scott Fitzgerald
320,1984,451524934,7,USD,George Orwell
321,Animal Farm,812911612X,14,USD,George Orwell
330,The Catcher in the Rye,316769487,5,USD,J. D. Salinger
340,Slaughterhouse-Five,385333846,10,USD,Kurt Vonnegut
341,Cats Cradle,038533348X,10,USD,Kurt Vonnegut
342,Breakfast of Champions,385334206,10,USD,Kurt Vonnegut
110,Da Vinci Code,9780552149518,7,USD,Brown Dan
111,Harry Potter and the Philosophers Stone,9780747532743,6,USD,Rowling J. K.
112,Harry Potter and the Chamber of Secrets,9780747538486,6,USD,Rowling J. K.
120,Angels and Demons,9780552150736,7,USD,Brown Dan
121,Harry Potter and the Order of the Phoenix,9780747551003,16,USD,Rowling J. K.
130,Harry Potter and the Half-blood PrinceChildrens Edition,9780747581086,16,USD,Rowling J. K.
140,Harry Potter and the Deathly Hallows,9780747591054,17,USD,Rowling J. K.
141,Harry Potter and the Prisoner of Azkaban,9780747546290,6,USD,Rowling J. K.
142,Twilight,9781904233657,7,USD,Meyer Stephenie
143,Harry Potter and the Goblet of Fire,9780747550,8,USD,Rowling J. K.
144,Deception Point,9780552151764,7,USD,Brown Dan
145,New Moon,9781904233886,7,USD,Meyer Stephenie
146,Lovely Bones,9780330457729,7,USD,Sebold Alice
147,Digital Fortress,9780552151696,7,USD,Brown Dan
148,Curious Incident of the Dog in the Night-time,9780450252,7,USD,Haddon Mark
149,Eclipse,9781904233916,7,USD,Meyer Stephenie
150,Girl with the Dragon Tattoo,9781847245458,7,USD,Larsson Stieg
151,Kite Runner,9780747566533,7,USD,Hosseini Khaled
152,Time Travelers Wife,9780464464,7,USD,Niffenegger Audrey
153,World According to Clarkson,9780141017891,7,USD,Clarkson Jeremy
154,Atonement,9780429791,7,USD,McEwan Ian
155,Lost Symbol,9780593054277,18,USD,Brown Dan
156,Short History of Nearly Everything,9780557041,9,USD,Bryson Bill
157,Breaking Dawn,9781905654284,14,USD,Meyer Stephenie
158,Harry Potter and the Goblet of Fire,9780747546245,17,USD,Rowling J. K.
159,Harry Potter and the Deathly Hallows,9780747591061,17,USD,Rowling J. K.
160,Girl Who Played With Fire,9781849163422,7,USD,Larsson Stieg
161,Child Called It,9780752837505,6,USD,Pelzer Dave
162,No.1 Ladies Detective Agency,9780349116754,7,USD,McCall Smith Alexander
163,You are What You EatThe Plan That Will Change Your Life,9780718147655,14,USD,McKeith Gillian
164,Man and Boy,9780006512134,7,USD,Parsons Tony
165,Birdsong,9780387916,7,USD,Faulks Sebastian
166,Labyrinth,9780752877327,7,USD,Mosse Kate
167,Island,9780755309511,7,USD,Hislop Victoria
168,Life of Pi,9781841953922,7,USD,Martel Yann
169,Dr. Atkins New Diet RevolutionThe No-hunger Luxurious Weight Loss P,9780091889487,8,USD,Atkins Robert C.
170,Tales of Beedle the Bard,9780747876,6,USD,Rowling J. K.
